"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"bugs"
"1";"/org.eclipse.debug.ui/ui/org/eclipse/debug/internal/ui/actions/CopyVariablesToClipboardActionDelegate.java";2;0;2;1;0;0;0;2;40;1;2;122;64;64;1;0;0;2;2;122;0;147;2;2;0
"2";"/org.eclipse.update.ui/src/org/eclipse/update/internal/ui/wizards/ReplaceFeatureVersionWizardPage.java";1;0;6;1;1;1;1;5;37;1;5;76;54;54;1;0;0;5;6;76;0;336;6;1;1
"3";"/org.eclipse.osgi/osgi/src/org/osgi/framework/PackagePermission.java";2;0;2;1;1;1;1;1;3;0;1;171;3;3;1;0;0;1;2;171;0;296;2;2;0
"4";"/org.eclipse.pde.ui/src/org/eclipse/pde/internal/ui/editor/text/ReconcilingStrategy.java";1;1;2;1;2;2;2;0;10;0;0;292;10;10;1;0;0;0;2;292;0;336;2;1;0
"5";"/org.eclipse.core.resources/src/org/eclipse/core/internal/events/AutoBuildJob.java";2;5;23;2;12;6;12;11;95;3;8;122;324;324;5;3;6;11;23;292;9;332;14;2;1
"6";"/org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/search/IOccurrencesFinder.java";3;0;3;1;1;1;1;2;14;1;2;209;28;28;1;0;0;2;3;209;0;290;3;3;0
"7";"/org.eclipse.swt/Eclipse SWT Printing/gtk/org/eclipse/swt/printing/Printer.java";4;1;7;2;2;2;2;5;15;2;4;0;37;37;2;1;0;5;7;144;1;337;6;4;0
"8";"/org.eclipse.pde.ui/src/org/eclipse/pde/internal/ui/PDEPlugin.java";3;1;18;1;5;5;5;13;48;2;12;26;238;238;2;1;0;13;18;131;1;336;17;3;0
"9";"/org.eclipse.ui.ide/src/org/eclipse/ui/views/bookmarkexplorer/RemoveBookmarkAction.java";1;0;1;1;0;0;0;1;0;0;1;129;0;0;1;0;0;1;1;129;0;129;1;1;0
"10";"/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/ObjectContributorManager.java";2;0;3;1;0;0;0;3;253;1;3;157;478;478;1;0;0;3;3;157;0;178;3;2;0
