filename;TotalPeopleInBurst;MaximumChangeBurstLate;NumberOfChanges;MaxPeopleInBurst;TotalBurstSizeLate;NumberOfChangeBurstsLate;NumberOfChangesLate;NumberOfChangesEarly;MaxChurnInBurst;MaximumChangeBurstEarly;NumberOfChangeBurstsEarly;TimeFirstBurst;TotalChurnInBurst;ChurnTotal;MaximumChangeBurst;NumberOfConsecutiveChangesEarly;NumberOfConsecutiveChangesLate;TotalBurstSizeEarly;TotalBurstSize;TimeMaxBurst;NumberOfConsecutiveChanges;TimeLastBurst;NumberOfChangeBursts;PeopleTotal;bugs
org.eclipse.ui.views.bookmarkexplorer;2;0;6;2;0;0;0;6;551;0;1;176;551;567;3;3;0;3;3;176;3;176;1;3;0
org.eclipse.update.internal.operations;0;0;4;0;0;0;0;4;0;0;0;-1;0;14;0;0;0;0;0;-1;0;-1;0;1;0
org.eclipse.pde.internal.core.schema;0;0;7;0;0;0;0;7;0;0;0;-1;0;6;0;0;0;0;0;-1;0;-1;0;1;0
org.eclipse.jdt.internal.compiler.classfmt;0;0;14;0;0;0;0;14;468;5;2;55;530;0;5;8;0;8;8;111;8;111;2;0;1
org.eclipse.jdt.internal.core.hierarchy;0;0;13;0;0;0;0;13;0;0;0;-1;0;0;0;4;0;0;0;-1;4;-1;0;0;3
org.eclipse.team.internal.ui.wizards;0;0;5;0;0;0;0;5;0;0;0;-1;0;0;0;1;0;0;0;-1;1;-1;0;0;0
org.eclipse.ui.externaltools.internal.program.launchConfigurations;0;0;3;0;0;0;0;3;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
org.eclipse.jdi;0;0;2;0;0;0;0;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
org.eclipse.debug.ui;0;0;13;0;0;0;0;13;199;6;2;14;298;54;6;7;0;9;9;33;7;33;2;2;1
org.eclipse.core.internal.localstore;0;0;9;0;0;0;0;9;678;0;1;142;678;18;3;2;0;3;3;142;2;142;1;2;4
org.eclipse.ui.internal.intro.impl.parts;0;0;7;0;3;1;4;3;37;0;0;232;37;0;3;0;2;0;3;232;2;232;1;0;0
org.eclipse.pde.internal.build.builder;0;0;7;0;0;0;0;7;0;0;0;-1;0;0;0;2;0;0;0;-1;2;-1;0;0;0
org.eclipse.osgi.framework.eventmgr;0;0;4;0;0;0;2;2;0;0;0;-1;0;0;0;1;0;0;0;-1;1;-1;0;0;0
org.eclipse.jdt.internal.junit.wizards;0;0;4;0;0;0;0;4;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;1;2
org.eclipse.core.resources.team;0;0;3;0;0;0;1;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
org.eclipse.search2.internal.ui.text;0;0;8;0;0;0;1;7;0;0;0;-1;0;0;0;1;0;0;0;-1;1;-1;0;0;2
org.eclipse.pde.internal.core.iproduct;0;0;3;0;0;0;0;3;0;0;0;-1;0;46;0;1;0;0;0;-1;1;-1;0;2;0
org.eclipse.swt.internal.gdip;0;0;3;0;0;0;0;3;0;0;0;-1;0;10;0;1;0;0;0;-1;1;-1;0;2;3
org.eclipse.update.core;0;0;4;0;0;0;0;4;0;0;0;-1;0;24;0;0;0;0;0;-1;0;-1;0;2;0
