filename;TotalPeopleInBurst;MaximumChangeBurstLate;NumberOfChanges;MaxPeopleInBurst;TotalBurstSizeLate;NumberOfChangeBurstsLate;NumberOfChangesLate;NumberOfChangesEarly;MaxChurnInBurst;MaximumChangeBurstEarly;NumberOfChangeBurstsEarly;TimeFirstBurst;TotalChurnInBurst;ChurnTotal;MaximumChangeBurst;NumberOfConsecutiveChangesEarly;NumberOfConsecutiveChangesLate;TotalBurstSizeEarly;TotalBurstSize;TimeMaxBurst;NumberOfConsecutiveChanges;TimeLastBurst;NumberOfChangeBursts;PeopleTotal;bugs
org.eclipse.ui.views.bookmarkexplorer;2;0;6;1;0;0;0;6;3846;2;2;8;4233;567;2;2;0;4;4;8;2;184;2;3;0
org.eclipse.update.internal.operations;0;0;4;0;0;0;0;4;0;0;0;-1;0;14;0;0;0;0;0;-1;0;-1;0;1;0
org.eclipse.pde.internal.core.schema;0;0;7;0;0;0;0;7;0;0;0;-1;0;6;0;0;0;0;0;-1;0;-1;0;1;0
org.eclipse.jdt.internal.compiler.classfmt;0;0;14;0;0;0;0;14;524;5;4;4;1137;0;5;7;0;11;11;111;7;131;4;0;1
org.eclipse.jdt.internal.core.hierarchy;0;0;13;0;0;0;0;13;223;2;4;4;443;0;2;4;0;8;8;4;4;213;4;0;3
org.eclipse.team.internal.ui.wizards;0;0;5;0;0;0;0;5;66;0;1;34;66;0;2;1;0;2;2;34;1;34;1;0;0
org.eclipse.ui.externaltools.internal.program.launchConfigurations;0;0;3;0;0;0;0;3;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
org.eclipse.jdi;0;0;2;0;0;0;0;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
org.eclipse.debug.ui;0;0;13;0;0;0;0;13;161;3;3;14;298;54;3;6;0;9;9;14;6;48;3;2;1
org.eclipse.core.internal.localstore;0;0;9;0;0;0;0;9;678;0;1;142;678;18;3;2;0;3;3;142;2;142;1;2;4
org.eclipse.ui.internal.intro.impl.parts;0;0;7;0;3;1;4;3;37;0;0;232;37;0;3;0;2;0;3;232;2;232;1;0;0
org.eclipse.pde.internal.build.builder;0;0;7;0;0;0;0;7;121;2;2;159;222;0;2;2;0;4;4;159;2;170;2;0;0
org.eclipse.osgi.framework.eventmgr;0;0;4;0;0;0;2;2;24;0;1;172;24;0;2;1;0;2;2;172;1;172;1;0;0
org.eclipse.jdt.internal.junit.wizards;0;0;4;0;0;0;0;4;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;1;2
org.eclipse.core.resources.team;0;0;3;0;0;0;1;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
org.eclipse.search2.internal.ui.text;0;0;8;0;0;0;1;7;155;0;1;91;155;0;2;1;0;2;2;91;1;91;1;0;2
org.eclipse.pde.internal.core.iproduct;1;0;3;1;0;0;0;3;0;0;1;138;0;46;2;1;0;2;2;138;1;138;1;2;0
org.eclipse.swt.internal.gdip;1;0;3;1;0;0;0;3;0;0;1;164;0;10;2;1;0;2;2;164;1;164;1;2;3
org.eclipse.update.core;0;0;4;0;0;0;0;4;0;0;0;-1;0;24;0;0;0;0;0;-1;0;-1;0;2;0
org.eclipse.ant.internal.ui.antsupport.inputhandler;1;0;5;1;0;0;1;4;22;0;1;89;22;21;2;1;0;2;2;89;1;89;1;1;2
org.eclipse.ui.commands;0;0;11;0;0;0;0;11;516;4;3;8;774;0;4;5;0;8;8;195;5;195;3;1;0
org.eclipse.debug.internal.core.sourcelookup.containers;1;0;4;1;0;0;0;4;56;0;1;175;56;14;2;1;0;2;2;175;1;175;1;2;0
org.eclipse.ui.externaltools.internal.launchConfigurations;0;0;7;0;0;0;0;7;186;0;1;204;186;0;3;2;0;3;3;204;2;204;1;0;2
org.eclipse.core.internal.plugins;0;0;4;0;0;0;0;4;104;0;1;101;104;0;3;2;0;3;3;101;2;101;1;0;0
org.eclipse.core.internal.indexing;1;0;4;1;0;0;0;4;0;0;1;154;0;215;2;1;0;2;2;154;1;154;1;2;0
org.eclipse.ui.internal.part;1;0;5;1;0;0;0;5;100;0;1;166;100;219;3;2;0;3;3;166;2;166;1;3;0
org.eclipse.compare.internal;0;0;6;0;0;0;1;5;11;0;1;36;11;16;2;1;0;2;2;36;1;36;1;1;2
org.eclipse.compare.structuremergeviewer;0;0;3;0;0;0;0;3;0;0;0;-1;0;16;0;0;0;0;0;-1;0;-1;0;1;0
org.eclipse.team.internal.ccvs.core.client;0;0;8;0;0;0;0;8;295;0;1;35;295;65;3;2;0;3;3;35;2;35;1;1;1
org.eclipse.jdt.core;0;0;8;0;0;0;0;8;1080;2;2;4;1195;81;2;2;0;4;4;4;2;155;2;3;8
org.eclipse.swt.ole.win32;0;0;7;0;0;0;0;7;21;2;2;2;31;32;2;2;0;4;4;2;2;26;2;2;0
org.eclipse.jdt.internal.debug.ui.jres;0;0;7;0;0;0;1;6;222;2;2;2;259;8;2;2;0;4;4;2;2;211;2;1;2
org.eclipse.jface.text.templates.persistence;0;0;6;0;0;0;2;4;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
org.eclipse.ant.internal.ui.debug.model;1;0;9;1;0;0;0;9;427;0;1;98;427;216;5;4;0;5;5;98;4;98;1;3;1
org.eclipse.search.internal.ui;0;0;7;0;0;0;1;6;0;0;0;-1;0;22;0;0;0;0;0;-1;0;-1;0;3;3
org.eclipse.jdt.internal.ui.javaeditor.selectionactions;0;0;7;0;0;0;1;6;32;0;1;146;32;0;2;1;0;2;2;146;1;146;1;0;0
org.eclipse.pde.internal.ui.preferences;0;0;9;0;0;0;0;9;383;2;2;31;409;0;2;2;0;4;4;31;2;213;2;0;0
org.eclipse.jdt.internal.formatter;0;0;6;0;0;0;0;6;100;0;1;161;100;0;3;2;0;3;3;161;2;161;1;0;3
org.eclipse.jdt.internal.corext.dom.fragments;1;0;3;1;0;0;1;2;64;0;1;176;64;30;2;1;0;2;2;176;1;176;1;2;0
org.eclipse.compare.contentmergeviewer;0;0;5;0;0;0;0;5;15;0;1;103;15;0;3;2;0;3;3;103;2;103;1;0;0
org.eclipse.ui.internal.preferences;1;0;3;1;0;0;0;3;0;0;1;35;0;32;2;1;0;2;2;35;1;35;1;3;1
org.eclipse.team.internal.ui.preferences;0;0;12;0;2;1;2;10;245;2;3;117;415;0;2;3;1;6;8;117;4;255;4;0;0
org.eclipse.jdt.internal.debug.eval.ast.engine;0;0;6;0;0;0;1;5;502;0;1;39;502;0;3;2;0;3;3;39;2;39;1;0;2
org.eclipse.search.internal.ui.util;0;0;4;0;0;0;0;4;0;0;0;-1;0;8;0;0;0;0;0;-1;0;-1;0;1;1
org.eclipse.pde.internal.ui.parts;0;0;3;0;0;0;0;3;9;0;1;58;9;39;2;1;0;2;2;58;1;58;1;2;0
